"Country";"Frequency Range";"Allocations";"Applications"
"IT";"0 - 10 kHz";" ";"#000000"
"IT";"150 - 280 kHz";"LW radio";"#0000FF"
"IT";"531 - 1602 kHz";"MW radio";"#0000FF"
"IT";"1810 - 2000 kHz";"160m HAM";"#DEB887"
"IT";"2173 - 2190 kHz";"Marine";"#000080"
"IT";"2300 - 2495 kHz";"120m SW radio";"#0000FF"
"IT";"3200 - 3400 kHz";"90m SW radio";"#0000FF"
"IT";"3500 - 3800 kHz";"80m HAM";"#DEB887"
"IT";"3950 - 4000 kHz";"75m SW radio";"#0000FF"
"IT";"4750 - 4995 kHz";"60m SW radio";"#0000FF"
"IT";"5351 - 5366 kHz";"60m HAM";"#DEB887"
"IT";"5900 - 6200 kHz";"49m SW radio";"#0000FF"
"IT";"6200 - 6525 kHz";"Marine";"#000080"
"IT";"6765 - 6795 kHz";"ISM";"#DC143C"
"IT";"7000 - 7200 kHz";"40m HAM";"#DEB887"
"IT";"7200 - 7450 kHz";"41m SW radio";"#0000FF"
"IT";"8000 - 8400 kHz";"RFID EAS";"#A9A9A9"
"IT";"9400 - 9900 kHz";"31m SW radio";"#0000FF"
"IT";"10100 - 10150 kHz";"30m HAM";"#DEB887"
"IT";"11600 - 12100 kHz";"25m SW radio";"#0000FF"
"IT";"13410 - 13550 kHz";"RC";"#B8860B"
"IT";"13550 - 13570 kHz";"RFID";"#ADFF2F"
"IT";"13570 - 13870 kHz";"22m SW radio";"#0000FF"
"IT";"14000 - 14350 kHz";"20m HAM";"#DEB887"
"IT";"15100 - 15830 kHz";"19m SW radio";"#0000FF"
"IT";"17480 - 17900 kHz";"16m SW radio";"#0000FF"
"IT";"18068 - 18168 kHz";"17m HAM";"#DEB887"
"IT";"18900 - 19020 kHz";"15m SW radio";"#0000FF"
"IT";"21000 - 21450 kHz";"15m HAM";"#DEB887"
"IT";"21450 - 21850 kHz";"13m SW radio";"#0000FF"
"IT";"24890 - 24990 kHz";"12m HAM";"#DEB887"
"IT";"25550 - 25670 kHz";"Radioastronomy";"#E0FFFF"
"IT";"25670 - 26100 kHz";"11m SW radio";"#0000FF"
"IT";"26350 - 27500 kHz";"CB/RC";"#B8860B"
"IT";"27500 - 28000 kHz";"Meteo";"#B0E0E6"
"IT";"28.000 - 29.700 MHz";"10m HAM";"#DEB887"
"IT";"30.010 - 34.995 MHz";"PMR/Phones";"#20B2AA"
"IT";"34.995 - 35.225 MHz";"RC Air";"#B8860B"
"IT";"36.400 - 38.500 MHz";"Mics";"#8FBC8F"
"IT";"39.775 - 40.000 MHz";"Phones";"#556B2F"
"IT";"40.660 - 40.990 MHz";"RC";"#B8860B"
"IT";"44.000 - 46.000 MHz";"PMR";"#20B2AA"
"IT";"48.500 - 50.000 MHz";"TV I";"#4B0082"
"IT";"50.000 - 54.000 MHz";"6m HAM";"#DEB887"
"IT";"68.000 - 74.800 MHz";"PMR";"#20B2AA"
"IT";"74.800 - 75.200 MHz";"ILS/Aviation";"#FF0000"
"IT";"75.200 - 87.500 MHz";"PMR";"#20B2AA"
"IT";"87.500 - 108.000 MHz";"FM radio";"#9400D3"
"IT";"108.000 - 117.975 MHz";"VOR ILS/Aviation";"#FF0000"
"IT";"117.975 - 137.000 MHz";"Air Voice";"#FF0000"
"IT";"137.000 - 138.000 MHz";"Meteor - NOAA/LRPT downlink";"#B0E0E6"
"IT";"138.000 - 144.000 MHz";"Aviation navigation";"#FF0000"
"IT";"144.000 - 146.000 MHz";"2m HAM";"#DEB887"
